Id,Pred
1,0.24865136
2,-0.014728904
3,0.06398493
4,-0.01762247
5,-0.0021779537
6,-0.013863206
7,-0.0129317045
8,1.2392035
9,0.020607978
10,-0.00459826
11,0.017551899
12,-0.014298797
13,-0.020213962
14,0.082329065
15,0.0325374
16,0.029711276
17,0.036838233
18,0.2054112
19,0.00986746
20,0.006650865
21,-0.050500333
22,-0.045740187
23,0.09982222
24,1.0054419
25,-0.054096878
26,0.016184956
27,0.10997817
28,0.033927053
29,0.014474452
30,-0.04909104
31,0.112749964
32,-0.03550273
33,0.117168516
34,0.06795001
35,-0.0046682954
36,-0.031891704
37,0.2750408
38,-0.026771367
39,0.33249
40,0.13806885
41,-0.0068662763
42,0.10814875
43,0.12739852
44,0.017608285
45,-0.057675064
46,0.1587247
47,0.10223332
48,0.001069516
49,-0.059966743
50,-0.0104445815
51,0.00084784627
52,0.9010848
53,0.07966295
54,-0.021639884
55,-0.025412679
56,0.12722248
57,-0.04437375
58,0.464587
59,0.016126305
60,0.12626481
61,0.3690182
62,0.013192356
63,0.3922853
64,0.15842116
65,-5.710125e-05
66,0.0012942851
67,-0.020364106
68,0.0405778
69,-0.0050113797
70,0.055473417
71,-0.015440106
72,0.0086687505
73,0.082050115
74,-0.06182921
75,0.1276004
76,0.12516183
77,0.04170841
78,0.9352193
79,0.1368823
80,0.037803173
81,-0.0029128194
82,0.061294645
83,-0.010858238
84,0.044813633
85,0.00487262
86,0.07414764
87,0.09445372
88,0.03519556
89,0.18890435
90,0.017680764
91,0.06135282
92,-0.0046517253
93,0.015581697
94,0.07072857
95,0.12983254
96,0.09409869
97,0.5413186
98,0.1274257
99,-0.026049733
100,0.080845565
